ADCCP,"Advanced Data Communication Control Procedures","Protocol for reliable communication between devices in a network.","Not very common"
ATM,"Asynchronous Transfer Mode","Networking technology that transmits data in fixed-size cells、 used in high-speed network environments.",Common
Aurora,"Aurora (protocol)","High-speed serial data transfer protocol used in networked embedded systems.","Not very common"
AX.25,AX.25,"Protocol for amateur radio communications、 used for packet radio.","Not very common"
BSC,"Binary Synchronous Communications","Communication protocol for serial data transmission.","Not very common"
BSP,"Bonjour Sleep Proxy","Manages power-saving states for devices using Apple’s Bonjour service.","Not very common"
CLP,"Cell Loss Priority","Flag in ATM cells that indicates whether the cell can be discarded in case of network congestion.","Not very common"
"Cisco HDLC","Cisco HDLC","Proprietary version of HDLC used by Cisco routers for point-to-point communication.","Not very common"
DLCI,"Data link connection identifier","Identifier used in Frame Relay networks to specify a virtual circuit.","Not very common"
DLL,"Data link layer","The second layer of the OSI model responsible for node-to-node data transfer.",Common
DCP,"Discovery and Configuration Protocol","Protocol used for discovering and configuring network devices.","Not very common"
DQDB,"Distributed-queue dual-bus","Network protocol used for LANs、 based on a dual-bus structure for distributed queuing.","Not very common"
DOCSIS,DOCSIS,"Standard for high-speed data transmission over cable TV systems.",Common
DSTDM,"Dynamic synchronous transfer mode","Variation of synchronous transfer mode used for flexible bandwidth management.","Not very common"
FDDI,"Fiber Distributed Data Interface","Standard for high-speed data transfer over fiber optic cables.","Not very common"
Frame,"Frame (networking)","Unit of data transmitted over a network link.",Common
FCS,"Frame check sequence","Error-checking mechanism in data frames to ensure data integrity.",Common
FR,"Frame Relay","Protocol for transmitting data frames across a network、 typically used for WANs.","Not very common"
"FX.25 FEC","FX.25 Forward Error Correction","Error correction method used in conjunction with the AX.25 protocol.","Not very common"
G.hn,G.hn,"Standard for home networking over various types of media (powerline、 phone lines、 and coaxial cables).","Not very common"
GPRS,"General Packet Radio Service","Mobile data service that provides packet-switched data transmission in cellular networks.",Common
GSE,"Generic Stream Encapsulation","Protocol used to encapsulate different types of data streams in networking.","Not very common"
HDLC,"High-Level Data Link Control","Bit-oriented protocol for providing reliable communication over various types of networks.","Not very common"
"IBM 1009","IBM 1009","Early IBM protocol for data communication.","Not very common"
802.11,"IEEE 802.11","A set of standards defining wireless LAN technology、 including protocols for Wi-Fi communication and radio frequencies.",Common
802.1AE,"IEEE 802.1AE","Standard for providing data link layer security using encryption.","Not very common"
802.1aq,"IEEE 802.1aq","Standard for simplifying network bridging and improving network efficiency.","Not very common"
802.1Q,"IEEE 802.1Q","Standard for VLAN tagging in Ethernet frames.",Common
802.2,"IEEE 802.2","Standard defining the Logical Link Control (LLC) sublayer of the data link layer.",Common
802.3,"IEEE 802.3","A set of standards defining Ethernet technology for wired local area networks (LANs)、 including physical and data link layer specifications.",Common
IL2P,"Improved Layer 2 Protocol","Protocol designed to enhance Layer 2 network operations.","Not very common"
IRF,"Intelligent Resilient Framework","Cisco’s technology for creating virtualized network switches.","Not very common"
IST,"InterSwitch Trunk","Technology for linking multiple Cisco switches in a stack.","Not very common"
